satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
OBJECT F,2024-092F,59778,PAY,+,CIS,2024-05-16,PLMSC,,93.8,97.65,466.0,455.0,,,EA,ORB,1.9000684462696784,460.5,LEO
OBJECT G,2024-092G,59779,PAY,+,CIS,2024-05-16,PLMSC,,100.57,98.66,795.0,777.0,,,EA,ORB,1.9000684462696784,786.0,LEO
OBJECT H,2024-092H,59780,PAY,+,CIS,2024-05-16,PLMSC,,100.57,98.66,795.0,776.0,,,EA,ORB,1.9000684462696784,785.5,LEO
OBJECT J,2024-092J,59781,PAY,+,CIS,2024-05-16,PLMSC,,100.57,98.66,795.0,776.0,,,EA,ORB,1.9000684462696784,785.5,LEO
STARLINK-31363,2024-093A,59782,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31868,2024-093B,59783,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31848,2024-093C,59784,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31890,2024-093D,59785,PAY,+,US,2024-05-18,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31862,2024-093E,59786,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31870,2024-093F,59787,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31888,2024-093G,59788,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31863,2024-093H,59789,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31873,2024-093J,59790,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31865,2024-093K,59791,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.894592744695414,483.5,LEO
STARLINK-31823,2024-093N,59794,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31916,2024-093P,59795,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31907,2024-093R,59797,PAY,+,US,2024-05-18,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31687,2024-093S,59798,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31810,2024-093T,59799,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31812,2024-093U,59800,PAY,+,US,2024-05-18,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31815,2024-093V,59801,PAY,+,US,2024-05-18,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31814,2024-093W,59802,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31794,2024-093X,59803,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
STARLINK-31824,2024-093Y,59804,PAY,+,US,2024-05-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.894592744695414,483.0,LEO
OBJECT A,2024-094A,59805,PAY,+,PRC,2024-05-20,TAISC,,94.94,97.39,520.0,512.0,,,EA,ORB,1.88911704312115,516.0,LEO
OBJECT B,2024-094B,59806,PAY,+,PRC,2024-05-20,TAISC,,94.94,97.39,517.0,514.0,,,EA,ORB,1.88911704312115,515.5,LEO
OBJECT C,2024-094C,59807,PAY,+,PRC,2024-05-20,TAISC,,94.93,97.4,521.0,510.0,,,EA,ORB,1.88911704312115,515.5,LEO
OBJECT D,2024-094D,59808,PAY,+,PRC,2024-05-20,TAISC,,94.93,97.39,521.0,509.0,,,EA,ORB,1.88911704312115,515.0,LEO
OBJECT K,2024-092K,59809,PAY,+,CIS,2024-05-16,PLMSC,,93.85,97.65,468.0,458.0,,,EA,ORB,1.9000684462696784,463.0,LEO
OBJECT A,2024-095A,59810,PAY,+,PRC,2024-05-21,JSC,,95.31,97.54,536.0,531.0,,,EA,ORB,1.8863791923340179,533.5,LEO
OBJECT C,2024-095C,59812,PAY,+,PRC,2024-05-21,JSC,,91.45,97.54,348.0,344.0,,,EA,ORB,1.8863791923340179,346.0,LEO
USA 354,2024-096A,59814,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 355,2024-096B,59815,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 356,2024-096C,59816,PAY,+,US,2024-05-22,AFWTR,,96.21,70.0,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 357,2024-096D,59817,PAY,+,US,2024-05-22,AFWTR,,96.21,70.02,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 358,2024-096E,59818,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 359,2024-096F,59819,PAY,+,US,2024-05-22,AFWTR,,96.21,70.02,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 360,2024-096G,59820,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,580.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.5,LEO
USA 361,2024-096H,59821,PAY,+,US,2024-05-22,AFWTR,,96.21,70.0,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 362,2024-096J,59822,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 363,2024-096K,59823,PAY,+,US,2024-05-22,AFWTR,,96.21,70.0,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 364,2024-096L,59824,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 365,2024-096M,59825,PAY,+,US,2024-05-22,AFWTR,,96.21,70.0,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 366,2024-096N,59826,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 367,2024-096P,59827,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 368,2024-096Q,59828,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 369,2024-096R,59829,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
USA 370,2024-096S,59830,PAY,+,US,2024-05-22,AFWTR,,96.21,70.01,579.0,575.0,,NEA,EA,ORB,1.8836413415468858,577.0,LEO
