satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
STARLINK-31723,2024-074V,59553,PAY,+,US,2024-04-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9767282683093772,483.0,LEO
STARLINK-31724,2024-074W,59554,PAY,+,US,2024-04-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9767282683093772,483.0,LEO
STARLINK-31730,2024-074X,59555,PAY,+,US,2024-04-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9767282683093772,483.0,LEO
STARLINK-31718,2024-074Y,59556,PAY,+,US,2024-04-18,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9767282683093772,483.0,LEO
YAOGAN-42 02,2024-075A,59557,PAY,+,PRC,2024-04-20,XICLF,,94.53,35.0,500.0,491.0,,,EA,ORB,1.9712525667351128,495.5,LEO
STARLINK-31747,2024-076A,59564,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31388,2024-076B,59565,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31332,2024-076C,59566,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31689,2024-076D,59567,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31471,2024-076E,59568,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31470,2024-076F,59569,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31587,2024-076G,59570,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31606,2024-076H,59571,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31666,2024-076J,59572,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31683,2024-076K,59573,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31751,2024-076L,59574,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31510,2024-076M,59575,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31663,2024-076N,59576,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31692,2024-076P,59577,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31685,2024-076Q,59578,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31686,2024-076R,59579,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9630390143737166,483.5,LEO
STARLINK-31668,2024-076S,59580,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31690,2024-076T,59581,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31701,2024-076U,59582,PAY,+,US,2024-04-23,AFETR,,94.26,43.0,483.0,482.0,,,EA,ORB,1.9630390143737166,482.5,LEO
STARLINK-31697,2024-076V,59583,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31662,2024-076W,59584,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31702,2024-076X,59585,PAY,+,US,2024-04-23,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9630390143737166,483.0,LEO
STARLINK-31704,2024-076Y,59586,PAY,P,US,2024-04-23,AFETR,,93.69,43.0,462.0,448.0,,,EA,ORB,1.9630390143737166,455.0,LEO
NEONSAT-1,2024-077A,59587,PAY,+,SKOR,2024-04-23,RLLB,,93.7,97.35,461.0,451.0,,,EA,ORB,1.9630390143737166,456.0,LEO
ACS3,2024-077B,59588,PAY,+,US,2024-04-23,RLLB,,103.52,97.19,978.0,871.0,,,EA,ORB,1.9630390143737166,924.5,LEO
GSAT0225 (GALILEO 29),2024-079A,59598,PAY,+,ESA,2024-04-28,AFETR,,844.7,55.07,23230.0,23214.0,,,EA,ORB,1.949349760438056,23222.0,MEO
GSAT0227 (GALILEO 30),2024-079C,59600,PAY,+,ESA,2024-04-28,AFETR,,844.7,55.07,23225.0,23220.0,,,EA,ORB,1.949349760438056,23222.5,MEO
STARLINK-31770,2024-080A,59601,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31778,2024-080B,59602,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31776,2024-080C,59603,PAY,+,US,2024-04-28,AFETR,,94.27,43.01,485.0,481.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31765,2024-080D,59604,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31767,2024-080E,59605,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31782,2024-080F,59606,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31755,2024-080G,59607,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31585,2024-080H,59608,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31667,2024-080J,59609,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31729,2024-080K,59610,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.949349760438056,483.5,LEO
STARLINK-31448,2024-080L,59611,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31748,2024-080M,59612,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31746,2024-080N,59613,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31762,2024-080P,59614,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31761,2024-080Q,59615,PAY,P,US,2024-04-28,AFETR,,90.79,42.98,331.0,295.0,,,EA,ORB,1.949349760438056,313.0,LEO
STARLINK-31768,2024-080R,59616,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31769,2024-080S,59617,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31784,2024-080T,59618,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31777,2024-080U,59619,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.949349760438056,483.5,LEO
STARLINK-31758,2024-080W,59621,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31774,2024-080X,59622,PAY,+,US,2024-04-28,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.949349760438056,483.0,LEO
STARLINK-31763,2024-080Y,59623,PAY,+,US,2024-04-28,AFETR,,94.26,43.0,483.0,482.0,,,EA,ORB,1.949349760438056,482.5,LEO
LEGION 1,2024-081A,59625,PAY,+,US,2024-05-02,AFWTR,,94.95,97.5,522.0,510.0,,,EA,ORB,1.9383983572895278,516.0,LEO
LEGION 2,2024-081B,59626,PAY,+,US,2024-05-02,AFWTR,,94.93,97.5,522.0,509.0,,,EA,ORB,1.9383983572895278,515.5,LEO
CHANG'E-6,2024-083A,59627,PAY,X,PRC,2024-05-03,WSC,,,,,,,,EL,ORB,1.9356605065023955,,UNKNOWN
ICUBE-QAMAR (ICUBE-Q),2024-083C,59629,PAY,+,PAKI,2024-05-03,WSC,,,,,,,,MO,ORB,1.9356605065023955,,UNKNOWN
STARLINK-31749,2024-082A,59631,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31781,2024-082B,59632,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31541,2024-082C,59633,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31797,2024-082D,59634,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31798,2024-082E,59635,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31802,2024-082F,59636,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31791,2024-082G,59637,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9356605065023955,483.5,LEO
STARLINK-31727,2024-082H,59638,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9356605065023955,483.5,LEO
STARLINK-31807,2024-082J,59639,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31806,2024-082K,59640,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31804,2024-082L,59641,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31660,2024-082M,59642,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31800,2024-082N,59643,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,485.0,482.0,,,EA,ORB,1.9356605065023955,483.5,LEO
STARLINK-31789,2024-082P,59644,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31795,2024-082Q,59645,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9356605065023955,483.5,LEO
STARLINK-31796,2024-082R,59646,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31801,2024-082S,59647,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31787,2024-082V,59650,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31277,2024-082W,59651,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31799,2024-082X,59652,PAY,+,US,2024-05-03,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31764,2024-082Y,59653,PAY,+,US,2024-05-03,AFETR,,94.26,43.01,484.0,482.0,,,EA,ORB,1.9356605065023955,483.0,LEO
STARLINK-31589,2024-084A,59654,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31665,2024-084B,59655,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9274469541409993,483.5,LEO
STARLINK-31912,2024-084C,59656,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31904,2024-084D,59657,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31858,2024-084E,59658,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31881,2024-084F,59659,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31885,2024-084G,59660,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31880,2024-084H,59661,PAY,+,US,2024-05-06,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31886,2024-084J,59662,PAY,+,US,2024-05-06,AFETR,,94.27,42.99,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31909,2024-084K,59663,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31910,2024-084L,59664,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31902,2024-084N,59666,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31913,2024-084P,59667,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31866,2024-084Q,59668,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31917,2024-084R,59669,PAY,+,US,2024-05-06,AFETR,,94.26,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31860,2024-084S,59670,PAY,+,US,2024-05-06,AFETR,,94.27,42.99,483.0,483.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31854,2024-084T,59671,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,483.0,482.0,,,EA,ORB,1.9274469541409993,482.5,LEO
STARLINK-31842,2024-084U,59672,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9274469541409993,483.5,LEO
STARLINK-31871,2024-084V,59673,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31875,2024-084W,59674,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31877,2024-084X,59675,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
STARLINK-31884,2024-084Y,59676,PAY,+,US,2024-05-06,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9274469541409993,483.0,LEO
OBJECT C,2024-085C,59679,PAY,+,PRC,2024-05-07,TAISC,,93.96,97.33,486.0,450.0,,,EA,ORB,1.9247091033538672,468.0,LEO
OBJECT D,2024-085D,59680,PAY,+,PRC,2024-05-07,TAISC,,93.85,97.33,472.0,454.0,,,EA,ORB,1.9247091033538672,463.0,LEO
STARLINK-32108,2024-086A,59682,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9219712525667352,483.5,LEO
STARLINK-32080,2024-086B,59683,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32091,2024-086C,59684,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32085,2024-086D,59685,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32100,2024-086E,59686,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32089,2024-086F,59687,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32103,2024-086G,59688,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32105,2024-086H,59689,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32106,2024-086J,59690,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32090,2024-086K,59691,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32088,2024-086M,59693,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32107,2024-086N,59694,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32104,2024-086P,59695,PAY,+,US,2024-05-08,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32094,2024-086Q,59696,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9219712525667352,483.5,LEO
STARLINK-32099,2024-086R,59697,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9219712525667352,483.5,LEO
STARLINK-32096,2024-086S,59698,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32102,2024-086T,59699,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32092,2024-086U,59700,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32093,2024-086V,59701,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32087,2024-086W,59702,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32086,2024-086X,59703,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
STARLINK-32098,2024-086Y,59704,PAY,+,US,2024-05-08,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9219712525667352,483.0,LEO
ZHIHUI TIANWANG-1 01A,2024-087A,59705,PAY,+,PRC,2024-05-09,XICLF,,717.97,53.12,20250.0,20114.0,,,EA,ORB,1.919233401779603,20182.0,MEO
ZHIHUI TIANWANG-1 01B,2024-087B,59706,PAY,+,PRC,2024-05-09,XICLF,,717.97,53.12,20247.0,20117.0,,,EA,ORB,1.919233401779603,20182.0,MEO
STARLINK-11107 [DTC],2024-088A,59708,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11088 [DTC],2024-088B,59709,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11092 [DTC],2024-088C,59710,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11082 [DTC],2024-088D,59711,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11108 [DTC],2024-088E,59712,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11100 [DTC],2024-088F,59713,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11094 [DTC],2024-088G,59714,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11101 [DTC],2024-088H,59715,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11099 [DTC],2024-088J,59716,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11084 [DTC],2024-088K,59717,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11103 [DTC],2024-088L,59718,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-11096 [DTC],2024-088M,59719,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,361.0,359.0,,,EA,ORB,1.9164955509924708,360.0,LEO
STARLINK-11095 [DTC],2024-088N,59720,PAY,+,US,2024-05-10,AFWTR,,91.74,53.16,360.0,359.0,,,EA,ORB,1.9164955509924708,359.5,LEO
STARLINK-31834,2024-088P,59721,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
STARLINK-31843,2024-088Q,59722,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
STARLINK-31766,2024-088R,59723,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
STARLINK-31836,2024-088S,59724,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
STARLINK-31820,2024-088T,59725,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,475.0,,,EA,ORB,1.9164955509924708,475.5,LEO
STARLINK-31642,2024-088U,59726,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
STARLINK-31827,2024-088V,59727,PAY,+,US,2024-05-10,AFWTR,,94.11,53.16,476.0,474.0,,,EA,ORB,1.9164955509924708,475.0,LEO
SHIYAN-23 (SY-23),2024-089A,59728,PAY,+,PRC,2024-05-11,JSC,,96.84,97.78,611.0,604.0,,,EA,ORB,1.9137577002053388,607.5,LEO
STARLINK-31472,2024-090A,59730,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31817,2024-090B,59731,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31833,2024-090D,59733,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,483.0,483.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31849,2024-090E,59734,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,483.0,,,EA,ORB,1.9082819986310746,483.5,LEO
STARLINK-31661,2024-090F,59735,PAY,+,US,2024-05-13,AFETR,,94.27,43.01,484.0,483.0,,,EA,ORB,1.9082819986310746,483.5,LEO
STARLINK-31707,2024-090G,59736,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31821,2024-090H,59737,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31819,2024-090J,59738,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31726,2024-090K,59739,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31759,2024-090L,59740,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31818,2024-090M,59741,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31816,2024-090N,59742,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31809,2024-090P,59743,PAY,+,US,2024-05-13,AFETR,,94.27,43.01,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31779,2024-090Q,59744,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31805,2024-090R,59745,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
STARLINK-31681,2024-090S,59746,PAY,+,US,2024-05-13,AFETR,,94.27,43.0,484.0,482.0,,,EA,ORB,1.9082819986310746,483.0,LEO
