operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
national aeronautics and space administration nasa goddard space flight center,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasa Goddard Space Flight Center
national aeronautics and space administration nasagoddard space flight center,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasagoddard Space Flight Center
turkish ministry of national defense,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Turkish Ministry Of National Defense
national aeronautics and space administration nasagsfc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasagsfc
national aeronautics and space administration nasa earth science officelaboratory for atmospheric and space physics univ of colorado,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasa Earth Science Officelaboratory For Atmospheric And Space Physics Univ Of Colorado
turkmenistan ministry of communicationsssimonaco,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Turkmenistan Ministry Of Communicationsssimonaco
national aeronautics and space administration nasajaxa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasajaxa
national aeronautics and space administration nasaapplied physics laboratory johns hopkins,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasaapplied Physics Laboratory Johns Hopkins
tokyo institute of technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Tokyo Institute Of Technology
pointview tech,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Pointview Tech
thuraya satellite communications,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Thuraya Satellite Communications
telebrasbrazilian air force,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Telebrasbrazilian Air Force
telemetry tracking and command network istrac centre,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Telemetry Tracking And Command Network Istrac Centre
national reconnaissance office,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Reconnaissance Office
national oceanographic and atmospheric administration noaanasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Oceanographic And Atmospheric Administration Noaanasa
telenor satellite broadcasting,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Telenor Satellite Broadcasting
telesat canada ltd bce incapt satellite holdings ltd,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Telesat Canada Ltd Bce Incapt Satellite Holdings Ltd
national institute of technology at kochi college,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Institute Of Technology At Kochi College
tohoku universityhokkaido university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Tohoku Universityhokkaido University
national institute of information and communications technology jpn,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Institute Of Information And Communications Technology Jpn
national authority for remote sensing and space science narss,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Authority For Remote Sensing And Space Science Narss
terrastar corporation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Terrastar Corporation
national aeronautics and space administration nasauniversity of california berkeley in partnership with germany france austria canada,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasauniversity Of California Berkeley In Partnership With Germany France Austria Canada
thai air force,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Thai Air Force
thaicom public company ltd,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Thaicom Public Company Ltd
national aeronautics and space administration nasases americom ses société européenne des satellites ses,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasases Americom Ses Société Européenne Des Satellites Ses
national aeronautics and space administration nasamultinational,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasamultinational
national institute for space research inpe,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Institute For Space Research Inpe
turksat,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Turksat
uk governmentsurrey satellite technologies,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Uk Governmentsurrey Satellite Technologies
tübitak space technologies research institute,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Tübitak Space Technologies Research Institute
us air force us navynasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Us Air Force Us Navynasa
ministry of defensecentre national detudes spatiales cnes  cooperation with austria belgium spain sweden,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ministry Of Defensecentre National Detudes Spatiales Cnes  Cooperation With Austria Belgium Spain Sweden
us coast guard,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Us Coast Guard
vanderbilt universityamsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Vanderbilt Universityamsat
viasat inc,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Viasat Inc
vietnamese posts and telecommunications group vnpt,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Vietnamese Posts And Telecommunications Group Vnpt
ministry of armed forces,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ministry Of Armed Forces
wakayama university uniform consortium,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Wakayama University Uniform Consortium
military satellite communications  us air force,0,0,0,0.0,0.6603402383983336,10,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Military Satellite Communications  Us Air Force
weathernews inc,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Weathernews Inc
wildblue communications,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Wildblue Communications
mexico telecomm,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Mexico Telecomm
würzburg center for telematics,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Würzburg Center For Telematics
xingyun satellite co,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Xingyun Satellite Co
xinwei telecom technology company,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Xinwei Telecom Technology Company
us air force institute of technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Us Air Force Institute Of Technology
national aeronautics and space administration nasa  earth science enterprisejapan meteorological agencybrazilian space agency,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Aeronautics And Space Administration Nasa  Earth Science Enterprisejapan Meteorological Agencybrazilian Space Agency
ministry of defenseparadigm secure communications wholly owned by eads astrium,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ministry Of Defenseparadigm Secure Communications Wholly Owned By Eads Astrium
ministry of natural resourcesministry of housing and urbanrural developmentnational bureau of statistics,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ministry Of Natural Resourcesministry Of Housing And Urbanrural Developmentnational Bureau Of Statistics
national reconnaissance office nrous air force,0,0,0,0.0,0.6603402383983336,14,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Reconnaissance Office Nrous Air Force
nasagerman research centre for geosciences gfz,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Nasagerman Research Centre For Geosciences Gfz
ukdmc international imaging dmcii,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ukdmc International Imaging Dmcii
university of californiaberkeleyimperial collegelondon,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,University Of Californiaberkeleyimperial Collegelondon
university of colorados laboratory for atmospheric and space physicsindian institute of space science and technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,University Of Colorados Laboratory For Atmospheric And Space Physicsindian Institute Of Space Science And Technology
university of north carolina  wilmington,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,University Of North Carolina  Wilmington
mozhaisky space engineering academy,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Mozhaisky Space Engineering Academy
momentus,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Momentus
university of stuttgart,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,University Of Stuttgart
university of tokyo and nestra,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,University Of Tokyo And Nestra
mne,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Mne
mitsubishi heavy industries,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Mitsubishi Heavy Industries
unknown us agency,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Unknown Us Agency
missile defense agency mda,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Missile Defense Agency Mda
minospace technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Minospace Technology
ministry of ecology and environmentministry of emergency management,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ministry Of Ecology And Environmentministry Of Emergency Management
national reconnaissance office nrous navy,0,0,0,0.0,0.6603402383983336,6,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Reconnaissance Office Nrous Navy
teikyo university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Teikyo University
national space activities commission conae,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Space Activities Commission Conae
optus communications parent singapore telecomaustralian ministry of defense,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Optus Communications Parent Singapore Telecomaustralian Ministry Of Defense
shanghai academy of space technology,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Shanghai Academy Of Space Technology
shanghai engineering center for microsatellites,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Shanghai Engineering Center For Microsatellites
shanghai institute of satellite engineering,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Shanghai Institute Of Satellite Engineering
shanghai micro satellite engineering center,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Shanghai Micro Satellite Engineering Center
operational responsive space ors office,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Operational Responsive Space Ors Office
open cosmos,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Open Cosmos
omnispace,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Omnispace
shanghai weixing keji,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Shanghai Weixing Keji
ohb se orbitale hochtechnologie bremen,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ohb Se Orbitale Hochtechnologie Bremen
singapore armed forces,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Singapore Armed Forces
singapore telecommunications ltd singtelchunghwa telecom co ltd,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Singapore Telecommunications Ltd Singtelchunghwa Telecom Co Ltd
ohb italia,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ohb Italia
sky mexico,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Sky Mexico
o3b networks ltd,0,0,0,0.0,0.6603402383983336,20,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,O3B Networks Ltd
ses saechostar satellite services llc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ses Saechostar Satellite Services Llc
ses sa  total capacity leased to subsidiary of echostar corp,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ses Sa  Total Capacity Leased To Subsidiary Of Echostar Corp
orbit fab,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Orbit Fab
seoul national university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Seoul National University
pt pasifik satelit nntara,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Pt Pasifik Satelit Nntara
piesat,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Piesat
pt telkomunikasi,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Pt Telkomunikasi
philippines department of science and technology university of the philippines diliman and japans hokkaido university and tohoku university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Philippines Department Of Science And Technology University Of The Philippines Diliman And Japans Hokkaido University And Tohoku University
peruvian space agency,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Peruvian Space Agency
regional african satellite communications organization rascom,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Regional African Satellite Communications Organization Rascom
riyadh space research institute,0,0,0,0.0,0.6603402383983336,9,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Riyadh Space Research Institute
o3b,0,0,0,0.0,0.6603402383983336,10,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,O3B
roscosmos state corporation,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Roscosmos State Corporation
russian federal service for hydrometeorology and environmental monitoring roshydromet,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Russian Federal Service For Hydrometeorology And Environmental Monitoring Roshydromet
salish kootenai college,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Salish Kootenai College
scanwaygerman orbital systems,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Scanwaygerman Orbital Systems
panamsat intelsat sadirectv inc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Panamsat Intelsat Sadirectv Inc
seal,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Seal
pakistan space and upper atmosphere research commission suparcopaksat international,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Pakistan Space And Upper Atmosphere Research Commission Suparcopaksat International
pakistan space and upper atmosphere research commission suparco,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Pakistan Space And Upper Atmosphere Research Commission Suparco
panamsat intelsat sasky perfect jsat corp,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Panamsat Intelsat Sasky Perfect Jsat Corp
national remote sensing center nrscc,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Remote Sensing Center Nrscc
sky perfect jsat corporationdsn corp,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Sky Perfect Jsat Corporationdsn Corp
slb,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Slb
naval research laboratory,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Naval Research Laboratory
srm university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Srm University
naval postgraduate school,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Naval Postgraduate School
naval physical and oceanographic laboratory,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Naval Physical And Oceanographic Laboratory
state oceanic administration soa,0,0,0,0.0,0.6603402383983336,6,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,State Oceanic Administration Soa
strategic space commandspace surveillance network,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Strategic Space Commandspace Surveillance Network
sun yatsen university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Sun Yatsen University
national university of singapore,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National University Of Singapore
svn,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Svn
swedish national space board,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Swedish National Space Board
taiwans national space organizationnational oceanographic and atmospheric admistration noaa,0,0,0,0.0,0.6603402383983336,6,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Taiwans National Space Organizationnational Oceanographic And Atmospheric Admistration Noaa
national space science center nssc,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Space Science Center Nssc
technical university of graz,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Technical University Of Graz
national space research and development agency nasrda,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Space Research And Development Agency Nasrda
national space organization,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,National Space Organization
sri international,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Sri International
nbn co operated by optus,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Nbn Co Operated By Optus
nearspace launchair force research laboratory,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Nearspace Launchair Force Research Laboratory
spot image,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Spot Image
south asian association for regional cooperation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,South Asian Association For Regional Cooperation
space development agency,0,0,0,0.0,0.6603402383983336,10,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Space Development Agency
novosibirsk state university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Novosibirsk State University
norwegian space center,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Norwegian Space Center
norwegian defence research establishment ffi,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Norwegian Defence Research Establishment Ffi
norwegian defence research establishment,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Norwegian Defence Research Establishment
space logistics llc,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Space Logistics Llc
sky perfect jsat corporationkacific,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Sky Perfect Jsat Corporationkacific
space research institute king abdulaziz city for science and technology,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Space Research Institute King Abdulaziz City For Science And Technology
space technologies research institute,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Space Technologies Research Institute
ningxia jingui information technology co ltd,0,0,0,0.0,0.6603402383983336,10,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ningxia Jingui Information Technology Co Ltd
space technology institutevietnam academy of science and technology stivast,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Space Technology Institutevietnam Academy Of Science And Technology Stivast
nigcomsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Nigcomsat
spacecommunication ltd,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Spacecommunication Ltd
nico,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Nico
spanish space agency,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Spanish Space Agency
noaa national oceanographic and atmospheric administration,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Noaa National Oceanographic And Atmospheric Administration
measat satellite systems sdn bhd,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Measat Satellite Systems Sdn Bhd
1worldspace,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,1Worldspace
maxar technologies inc,0,0,0,0.0,0.6603402383983336,3,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Maxar Technologies Inc
galaxy space,0,0,0,0.0,0.6603402383983336,6,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Galaxy Space
fger,0,0,0,0.0,0.6603402383983336,2,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Fger
federal security service fsb,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Federal Security Service Fsb
f space test office,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,F Space Test Office
f orso operationally responsive space office,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,F Orso Operationally Responsive Space Office
exactearth,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Exactearth
eutelsat sanilesat,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Eutelsat Sanilesat
bela,0,0,0,0.0,0.6603402383983336,3,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Bela
eutelsat saeshailsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Eutelsat Saeshailsat
galaxyspace,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Galaxyspace
european university network,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,European University Network
european space agency esanasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,European Space Agency Esanasa
belintersat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Belintersat
bhr,0,0,0,0.0,0.6603402383983336,1,0,0.0,satcat_owner_code,46.22381668788335,30.0,76.2,low,high,Bhr
bolivarian agency for space activities,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Bolivarian Agency For Space Activities
bolivia aerospace bureau,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Bolivia Aerospace Bureau
eshailsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Eshailsat
brite consortium,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Brite Consortium
broadcasting satellite system corpsky perfect jsat corporation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Broadcasting Satellite System Corpsky Perfect Jsat Corporation
esaeumetsat european organization for the exploitation of meterological satellites,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Esaeumetsat European Organization For The Exploitation Of Meterological Satellites
