operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
ecole polytechnique fédérale de lanne epfl,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Ecole Polytechnique Fédérale De Lanne Epfl
canadian space agency,0,0,0,0.0,0.6603402383983336,7,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Canadian Space Agency
echostar corporation entire payload leased from telesat canada ltd,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Echostar Corporation Entire Payload Leased From Telesat Canada Ltd
easfbundeswehr,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Easfbundeswehr
earth sciences enterprise nasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Earth Sciences Enterprise Nasa
mda corporation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Mda Corporation
dorbit,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Dorbit
dodus navy,0,0,0,0.0,0.6603402383983336,5,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Dodus Navy
directv latin americaintelsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Directv Latin Americaintelsat
directorate general of armaments dga,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Directorate General Of Armaments Dga
digitalglobe corporation,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Digitalglobe Corporation
center of excellence for space sciences and technologies spacesi,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Center Of Excellence For Space Sciences And Technologies Spacesi
dfh satellite co ltdamsatchina,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Dfh Satellite Co Ltdamsatchina
deutsches zentrum für luft und raumfahrt,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Deutsches Zentrum Für Luft Und Raumfahrt
department of national defense,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Department Of National Defense
centi chinaeurope networks of technology and innovation,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Centi Chinaeurope Networks Of Technology And Innovation
department of homeland security,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Department Of Homeland Security
helios wireechostar global australia,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Helios Wireechostar Global Australia
hellassat consortium ltd,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hellassat Consortium Ltd
german orbital systems,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,German Orbital Systems
hera systems,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hera Systems
algerian space agency asal,0,0,0,0.0,0.6603402383983336,4,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Algerian Space Agency Asal
amsatna,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Amsatna
kazcosmos,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kazcosmos
jsc kazsat,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Jsc Kazsat
jaxa ministry of environment national institute of environmental studies,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Jaxa Ministry Of Environment National Institute Of Environmental Studies
amsatuk,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Amsatuk
japan space systems,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Japan Space Systems
hellassat consortium ltdinmarsat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Hellassat Consortium Ltdinmarsat
japan meteorological agencymeteorological satellite center msc,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Japan Meteorological Agencymeteorological Satellite Center Msc
itu space systems design  test laboratory,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Itu Space Systems Design  Test Laboratory
andesite  boston university,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Andesite  Boston University
italian space agencyministry of defense,0,0,0,0.0,0.6603402383983336,6,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Italian Space Agencyministry Of Defense
italian space agency,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Italian Space Agency
italian defense ministrytelespazio,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Italian Defense Ministrytelespazio
italian defense ministryfrench defense ministry,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Italian Defense Ministryfrench Defense Ministry
angosat,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Angosat
isky technology,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Isky Technology
applied physics laboratorynasa,0,0,0,0.0,0.6603402383983336,1,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Applied Physics Laboratorynasa
iridium communications inc,0,0,0,0.0,0.6603402383983336,75,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Iridium Communications Inc
kingdom of morocco,0,0,0,0.0,0.6603402383983336,2,0,0.0,ucs_operator,46.22381668788335,30.0,76.2,low,high,Kingdom Of Morocco
