operator_reliability_score,operator_compliance_rate,ml_risk_score,final_risk_tier
79.2,0.7371820750908357,0.2120398114034412,LOW
73.5,0.6375579598145286,0.3781578381753795,LOW
73.5,0.6375579598145286,0.5086450143592438,MEDIUM
79.2,0.7371820750908357,0.2189700670576955,LOW
73.5,0.6375579598145286,0.2507951901178297,LOW
73.5,0.6375579598145286,0.2593544240011886,LOW
79.2,0.7371820750908357,0.2382109678093052,LOW
79.2,0.7371820750908357,0.2193760634416626,LOW
73.5,0.6375579598145286,0.3761627571507407,LOW
79.2,0.7371820750908357,0.2186032839692379,LOW
73.5,0.6375579598145286,0.3916131164327362,LOW
73.5,0.6375579598145286,0.3145340915962037,LOW
73.5,0.6375579598145286,0.3739579740636111,LOW
73.5,0.6375579598145286,0.3750804539121245,LOW
79.2,0.7371820750908357,0.2408608659505106,LOW
73.5,0.6375579598145286,0.2496143865229512,LOW
73.5,0.6375579598145286,0.2550407985618218,LOW
73.5,0.6375579598145286,0.3756185987969546,LOW
73.5,0.6375579598145286,0.375573758779918,LOW
73.5,0.6375579598145286,0.3144217006963562,LOW
73.5,0.6375579598145286,0.3599811754484318,LOW
73.5,0.6375579598145286,0.3752420412503061,LOW
79.2,0.7371820750908357,0.2149959598573275,LOW
73.5,0.6375579598145286,0.3680913686921934,LOW
73.5,0.6375579598145286,0.3691545882633245,LOW
79.2,0.7371820750908357,0.2391824319464898,LOW
79.2,0.7371820750908357,0.4453951138062538,MEDIUM
79.2,0.7371820750908357,0.2403985347312514,LOW
73.5,0.6375579598145286,0.3143230339327266,LOW
73.5,0.6375579598145286,0.3509081079329482,LOW
73.5,0.6375579598145286,0.3684270209049767,LOW
73.5,0.6375579598145286,0.2560153767965689,LOW
73.5,0.6375579598145286,0.3699219259947535,LOW
73.5,0.6375579598145286,0.2562104738088001,LOW
73.5,0.6375579598145286,0.2558368771989125,LOW
73.5,0.6375579598145286,0.2569133685759514,LOW
73.5,0.6375579598145286,0.3142928890998223,LOW
79.2,0.7371820750908357,0.2150823964945597,LOW
73.5,0.6375579598145286,0.3894353631896186,LOW
73.5,0.6375579598145286,0.2487510005858256,LOW
73.5,0.6375579598145286,0.2533998848325811,LOW
79.2,0.7371820750908357,0.2539673601247887,LOW
79.2,0.7371820750908357,0.2399508735979175,LOW
79.2,0.7371820750908357,0.2152033139171584,LOW
79.2,0.7371820750908357,0.2403040006430218,LOW
73.5,0.6375579598145286,0.3983885476001493,LOW
73.5,0.6375579598145286,0.3721587676737236,LOW
79.2,0.7371820750908357,0.2116759576717144,LOW
73.5,0.6375579598145286,0.4091284141157982,MEDIUM
79.2,0.7371820750908357,0.238945662702226,LOW
79.2,0.7371820750908357,0.2366793566594111,LOW
79.2,0.7371820750908357,0.2100339507596242,LOW
73.5,0.6375579598145286,0.2560772703252348,LOW
73.5,0.6375579598145286,0.3358966028204666,LOW
73.5,0.6375579598145286,0.3449517837221183,LOW
79.2,0.7371820750908357,0.2385697848979824,LOW
79.2,0.7371820750908357,0.2105153552906966,LOW
73.5,0.6375579598145286,0.3943506677063393,LOW
73.5,0.6375579598145286,0.3140435691986492,LOW
79.2,0.7371820750908357,0.2159598422839708,LOW
79.2,0.7371820750908357,0.2537951878901966,LOW
79.2,0.7371820750908357,0.2111393518781534,LOW
73.5,0.6375579598145286,0.3461790082113981,LOW
73.5,0.6375579598145286,0.403537926606894,MEDIUM
79.2,0.7371820750908357,0.2397508702078449,LOW
79.2,0.7371820750908357,0.2645525514083114,LOW
79.2,0.7371820750908357,0.2098098149782016,LOW
73.5,0.6375579598145286,0.2540567567086452,LOW
79.2,0.7371820750908357,0.2155875742824035,LOW
79.2,0.7371820750908357,0.2388472885759663,LOW
79.2,0.7371820750908357,0.248468135946738,LOW
79.2,0.7371820750908357,0.2124525757675206,LOW
79.2,0.7371820750908357,0.2412771840231484,LOW
79.2,0.7371820750908357,0.2204833411050605,LOW
79.2,0.7371820750908357,0.2468668823258982,LOW
73.5,0.6375579598145286,0.3560267712581013,LOW
79.2,0.7371820750908357,0.2386013334543273,LOW
73.5,0.6375579598145286,0.2461131814330309,LOW
79.2,0.7371820750908357,0.2162942297985787,LOW
79.2,0.7371820750908357,0.2179714060521236,LOW
73.5,0.6375579598145286,0.3138491193727962,LOW
79.2,0.7371820750908357,0.2171459924269391,LOW
77.1,0.7083333333333334,0.1676622639809848,LOW
79.2,0.7371820750908357,0.262685672702368,LOW
73.5,0.6375579598145286,0.3138025706584053,LOW
47.6,0.2647058823529412,0.7566490471945073,HIGH
73.5,0.6375579598145286,0.3577372151548816,LOW
73.5,0.6375579598145286,0.3530964997861092,LOW
79.2,0.7371820750908357,0.2172372926138651,LOW
79.2,0.7371820750908357,0.4709861673044681,MEDIUM
79.2,0.7371820750908357,0.2113154870211998,LOW
79.2,0.7371820750908357,0.2407574311051042,LOW
73.5,0.6375579598145286,0.3684997024369152,LOW
73.5,0.6375579598145286,0.3692715551089026,LOW
73.5,0.6375579598145286,0.2929918999697957,LOW
79.2,0.7371820750908357,0.4104954208475436,MEDIUM
79.2,0.7371820750908357,0.2178174209305601,LOW
73.5,0.6375579598145286,0.3996345847360021,LOW
79.2,0.7371820750908357,0.2107632259777455,LOW
79.2,0.7371820750908357,0.240608750203666,LOW
79.2,0.7371820750908357,0.2362821673686551,LOW
79.2,0.7371820750908357,0.2666827584983927,LOW
79.2,0.7371820750908357,0.2121940224325587,LOW
73.5,0.6375579598145286,0.345851578946906,LOW
73.5,0.6375579598145286,0.3469371458864229,LOW
79.2,0.7371820750908357,0.2173077974258275,LOW
73.5,0.6375579598145286,0.4126515369245765,MEDIUM
79.2,0.7371820750908357,0.2177562565883218,LOW
73.5,0.6375579598145286,0.3136082018325165,LOW
